numPackets,1Mbps,4Mbps,5Mbps,6Mbps
500.0,80.2,20.3,0.0,0.0
1000.0,80.2,20.7,0.0,0.0
1500.0,80.2,20.7,0.0,0.0
2000.0,80.2,20.8,0.0,0.0
2500.0,80.2,20.8,0.0,0.0
3000.0,80.2,20.8,0.0,0.0
3500.0,80.2,20.8,0.0,0.0
4000.0,80.2,20.8,0.0,0.0
4500.0,80.2,20.8,0.0,0.0
5000.0,80.2,20.8,0.0,0.0
5500.0,80.2,20.8,0.0,0.0
6000.0,80.2,20.8,0.0,0.0
6500.0,80.2,20.8,0.0,0.0
7000.0,80.2,20.8,0.0,0.0
7500.0,80.2,20.8,0.0,0.0
8000.0,80.2,20.8,0.9,0.0
8500.0,80.2,20.8,1.0,0.0
9000.0,80.2,20.8,1.0,0.0
9500.0,80.2,20.8,1.0,0.0
10000.0,80.2,20.8,1.0,0.0
